;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
MICROBRAIDS V1;;;;;;;;;
Mouser No;Mfr. No;Manufacturer;Customer No;Description ;RoHS;Lifecycle;Order Qty.;Price (EUR);Ext.: (EUR)
538-15-91-0060;15-91-0060;Molex;MicroBraids;Headers & Wire Housings 6P SMT HEADER;RoHS Compliant;;1;0,50 €;0,50 €
579-MCP6004-I/ST;MCP6004-I/ST;Microchip;MicroBraids;Operational Amplifiers - Op Amps Quad 1.8V 1MHz;RoHS Compliant;;1;0,453 €;0,45 €
667-ERJ-3EKF3300V;ERJ-3EKF3300V;Panasonic;microBraids;Thick Film Resistors - SMD 0603 330ohms 1% AEC-Q200;RoHS Compliant By Exemption;;1;0,141 €;0,14 €
667-ERJ-3EKF1001V;ERJ-3EKF1001V;Panasonic;microBraids;Thick Film Resistors - SMD 0603 1Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;2;0,141 €;0,28 €
667-ERJ-3EKF1002V;ERJ-3EKF1002V;Panasonic;microBraids;Thick Film Resistors - SMD 0603 10Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;4;0,141 €;0,56 €
667-ERJ-3EKF2492V;ERJ-3EKF2492V;Panasonic;microBraids;Thick Film Resistors - SMD 0603 24.9Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;11;0,013 €;0,14 €
667-ERJ-3EKF1003V;ERJ-3EKF1003V;Panasonic;microBraids;Thick Film Resistors - SMD 0603 100Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;6;0,141 €;0,85 €
667-ERJ-3EKF4992V;ERJ-3EKF4992V;Panasonic;microBraids;Thick Film Resistors - SMD 0603 49.9Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;2;0,141 €;0,28 €
667-ERJ-3EKF3902V;ERJ-3EKF3902V;Panasonic;microBraids;Thick Film Resistors - SMD 0603 39Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;2;0,141 €;0,28 €
667-ERJ-3EKF1203V;ERJ-3EKF1203V;Panasonic;microBraids;Thick Film Resistors - SMD 0603 120Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;1;0,141 €;0,14 €
667-ERJ-3EKF2003V;ERJ-3EKF2003V;Panasonic;microBraids;Thick Film Resistors - SMD 0603 200Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;3;0,141 €;0,42 €
