;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
SHOPPING BASKET;;;;;;;;;;
This is not an invoice;;;;;;;;;;
helmi 23, 2017 14:00:55;;;;;;;;;;
;Mouser No;Mfr. No;Manufacturer;Customer No;Description ;RoHS;Lifecycle;Order Qty.;Price (EUR);Ext: (EUR)
1;140-50V5-104Z-RC;140-50V5-104Z-RC;Xicon;;Ceramic Disc Capacitors 50V .1uF Y5V +80%/-20% Tol;RoHS Compliant;End of Life;10;0,302 €;3,02 €
2;238-WM8731SEDS/V;WM8731SEDS/V;Cirrus Logic;;Interface - CODECs Stereo Codec with H/P;RoHS Compliant;;1;3,90 €;3,90 €
3;291-100K-RC;291-100K-RC;Xicon;;Carbon Film Resistors - Through Hole 100Kohms 0.05;RoHS Compliant;;10;0,14 €;1,40 €
4;291-2.2K-RC;291-2.2K-RC;Xicon;;Carbon Film Resistors - Through Hole 2.2Kohms 0.05;RoHS Compliant;;5;0,173 €;0,87 €
5;291-39K-RC;291-39K-RC;Xicon;;Carbon Film Resistors - Through Hole 39Kohms 0.05;RoHS Compliant;;10;0,14 €;1,40 €
6;291-5.1K-RC;291-5.1K-RC;Xicon;;Carbon Film Resistors - Through Hole 5.1Kohms 0.05;RoHS Compliant;;10;0,14 €;1,40 €
7;291-7.5K-RC;291-7.5K-RC;Xicon;;Carbon Film Resistors - Through Hole 7.5Kohms 0.05;RoHS Compliant;;10;0,14 €;1,40 €
8;511-STM32F103CBT6;STM32F103CBT6;STMicroelectronics;;ARM Microcontrollers - MCU 32BIT Cortex M3 128K MED Performance LN;RoHS Compliant;;2;6,37 €;12,74 €
9;511-STM32F405RGT6;STM32F405RGT6;STMicroelectronics;;ARM Microcontrollers - MCU ARM M4 1024 FLASH 168 Mhz 192kB SRAM;RoHS Compliant;;1;9,97 €;9,97 €
10;517-9691020000DA;969102-0000-DA;3M;;Headers & Wire Housings 2.54MM SHUNT;RoHS Compliant;;2;0,094 €;0,19 €
11;595-CD74HC595M;CD74HC595M;Texas Instruments;;Counter Shift Registers 8-Bit Shift Register;RoHS Compliant;;1;0,839 €;0,84 €
12;595-OPA2171AID;OPA2171AID;Texas Instruments;;Operational Amplifiers - Op Amps 36V,Low Pwr,RRO,Gen Purp Op Amp;RoHS Compliant;;2;1,88 €;3,76 €
13;595-TL072IPE4;TL072IPE4;Texas Instruments;;Operational Amplifiers - Op Amps Dual Low-Noise JFET-Input;RoHS Compliant;;1;0,641 €;0,64 €
14;595-TL074CN;TL074CN;Texas Instruments;;Operational Amplifiers - Op Amps JFET Input Low Noise;RoHS Compliant;;1;0,604 €;0,60 €
15;598-AVE106M16B12T-F;AVE106M16B12T-F;Cornell Dubilier;;Aluminium Electrolytic Capacitors - SMD 10uF 16V 85C;RoHS Compliant;;10;0,269 €;2,69 €
16;604-WP59EGW;WP59EGW;Kingbright;;Standard LEDs - Through Hole RED/GREEN DIFFUSED 3-LEAD;RoHS Compliant;;10;0,19 €;1,90 €
17;604-WP710A10GD;WP710A10GD;Kingbright;;Standard LEDs - Through Hole Grn 568nm 20mcd 40 Deg 3mm;RoHS Compliant;;10;0,081 €;0,81 €
18;612-1R-BK;1RBLK;E-Switch;;Switch Bezels / Switch Caps 9 X 5MM RND CAP BLK;RoHS Compliant;;3;0,179 €;0,54 €
19;612-TL1105SP-250;TL1105SPF250Q;E-Switch;;Tactile Switches 6.0X2.8MM 250G;RoHS Compliant;;3;0,255 €;0,77 €
20;633-CS12ANW03;CS12ANW03;NKK Switches;;Slide Switches SPDT ON-NONE-ON 3A;RoHS Compliant;;3;1,89 €;5,67 €
21;647-UWX1C100MCL2;UWX1C100MCL2GB;Nichicon;;Aluminium Electrolytic Capacitors - SMD 16volts 10uF 3x5.4 20%;RoHS Compliant;;2;0,273 €;0,55 €
