;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
SHOPPING BASKET;;;;;;;;;;
This is not an invoice;;;;;;;;;;
helmi 23, 2017 14:00:55;;;;;;;;;;
;Mouser No;Mfr. No;Manufacturer;Customer No;Description ;RoHS;Lifecycle;Order Qty.;Price (EUR);Ext: (EUR)
22;649-77311-118-03LF;77311-118-03LF;FCI / Amphenol;;Headers & Wire Housings UNSHROUDED 1ROW STRT THRU HOLE 3 POS;RoHS Compliant;;2;0,179 €;0,36 €
23;649-DILB16P-223TLF;DILB16P-223TLF;FCI / Amphenol;;IC & Component Sockets 16P SOCKET;RoHS Compliant;;1;0,264 €;0,26 €
24;649-DILB18P223TLF;DILB18P-223TLF;FCI / Amphenol;;IC & Component Sockets SOCKETS DIP;RoHS Compliant;;1;0,292 €;0,29 €
25;652-CR0603FX-1001ELF;CR0603-FX-1001ELF;Bourns;;Thick Film Resistors - SMD 1K 1% 1/10W;RoHS Compliant By Exemption;;10;0,024 €;0,24 €
26;652-CR0603FX-2493ELF;CR0603-FX-2493ELF;Bourns;;Thick Film Resistors - SMD 249K ohm 1%;RoHS Compliant By Exemption;;10;0,024 €;0,24 €
27;652-CR0603FX-2700ELF;CR0603-FX-2700ELF;Bourns;;Thick Film Resistors - SMD 270 ohm 1%;RoHS Compliant By Exemption;;10;0,024 €;0,24 €
28;652-CR0603FX-33R0ELF;CR0603-FX-33R0ELF;Bourns;;Thick Film Resistors - SMD 33 ohm 1%;RoHS Compliant By Exemption;;10;0,024 €;0,24 €
29;667-ERA-3AEB104V;ERA-3AEB104V;Panasonic;;Thin Film Resistors - SMD 0603 1/10W 100Kohms;RoHS Compliant By Exemption;;30;0,235 €;7,05 €
30;667-ERJ-3EKF1001V;ERJ-3EKF1001V;Panasonic;;Thick Film Resistors - SMD 0603 1Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;20;0,013 €;0,26 €
31;667-ERJ-3EKF1803V;ERJ-3EKF1803V;Panasonic;;Thick Film Resistors - SMD 0603 180Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;10;0,013 €;0,13 €
32;667-ERJ-3EKF2003V;ERJ-3EKF2003V;Panasonic;;Thick Film Resistors - SMD 0603 200Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;10;0,013 €;0,13 €
33;667-ERJ-3EKF2201V;ERJ-3EKF2201V;Panasonic;;Thick Film Resistors - SMD 0603 2.2Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;10;0,013 €;0,13 €
34;667-ERJ-3EKF3093V;ERJ-3EKF3093V;Panasonic;;Thick Film Resistors - SMD 0603 309Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;10;0,013 €;0,13 €
35;667-ERJ-3EKF3301V;ERJ-3EKF3301V;Panasonic;;Thick Film Resistors - SMD 0603 3.3Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;10;0,013 €;0,13 €
36;667-ERJ-3EKF4700V;ERJ-3EKF4700V;Panasonic;;Thick Film Resistors - SMD 0603 470ohms 1% AEC-Q200;RoHS Compliant By Exemption;;10;0,013 €;0,13 €
37;667-ERJ-3EKF4702V;ERJ-3EKF4702V;Panasonic;;Thick Film Resistors - SMD 0603 47Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;10;0,013 €;0,13 €
38;667-ERJ-3EKF5601V;ERJ-3EKF5601V;Panasonic;;Thick Film Resistors - SMD 0603 5.6Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;10;0,013 €;0,13 €
39;667-ERJ-3EKF6652V;ERJ-3EKF6652V;Panasonic;;Thick Film Resistors - SMD 0603 66.5Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;10;0,013 €;0,13 €
40;667-ERJ-3EKF68R1V;ERJ-3EKF68R1V;Panasonic;;Thick Film Resistors - SMD 0603 68.1ohms 1% AEC-Q200;RoHS Compliant By Exemption;;20;0,013 €;0,26 €
41;667-ERJ-8GEYJ4R7V;ERJ-8GEYJ4R7V;Panasonic;;Thick Film Resistors - SMD 1206 4.7ohms 5% Tol AEC-Q200;RoHS Compliant By Exemption;;10;0,02 €;0,20 €
42;710-742792693;742792693;Wurth Electronics;;Ferrite Beads WE-CBF 0603 SMD Bead 100MHz 2200Ohm 50mA;RoHS Compliant;;10;0,154 €;1,54 €
43;81-GRM18R61A105KA61J;GRM188R61A105KA61J;Murata;;Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 1uF 10volts X5R 10%;RoHS Compliant;;10;0,034 €;0,34 €
44;810-C2012X5R1A225K-2;C2012X5R1A225K085AA;TDK;;Multilayer Ceramic Capacitors MLCC - SMD/SMT 0805 2.2uF 10volts X5R 10%Thk 0.85mm;RoHS Compliant;;10;0,132 €;1,32 €
45;810-FK28C0G2A561J;FK28C0G2A561J;TDK;;Multilayer Ceramic Capacitors MLCC - Leaded 560pF 100volts C0G 5%;RoHS Compliant;;10;0,22 €;2,20 €
46;815-ABLS2-12.2-D4Y-T;ABLS2-12.288MHZ-D4Y-T;ABRACON;;Crystals 12.288MHz 30ppm 18pF -40C+85C;RoHS Compliant;;1;0,405 €;0,41 €
47;926-LM1117DT-3.3NOPB;LM1117DT-3.3/NOPB;Texas Instruments;;LDO Voltage Regulators 800MA LDO LINEAR REG;RoHS Compliant;;1;1,45 €;1,45 €
;;;;;;;;;;
;;;;;;;;;;
"By submitting your order you agree

to these terms and conditions.";;;;;;;;;Merchandise Total:;73,13 €
Prices are reflected at the date and time shown.;;;;;;;;;Delivery Charge:;0,00 €
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
