Clouds, v3.0;;;;;;;;;;;;;;;;;;;;;;;;;
Index;Qty;Description;Specs;Value;Package;Ref. Mouser;References;;;;;;;;;;;;;;;;;;
R18, R19, R20, R43, R44, R45;6;10k linear pot, 15mm shaft;;;;;https://www.thonk.co.uk/shop/alpha-9mm-pots/;;;;;;;;;;;;;;;;;;
R42;1;50k audio pot, dual gang;;;;;Bourns PTV112-4420A-A503;;;;;;;;;;;;;;;;;;
LED1, LED2, LED3, LED4;4;LED 5mm, red & green, diffused, common anode;;;;604-WP59EGW;Kingbright WP59EGW;;;;;;;;;;;;;;;;;;
SW1;1;Switch, On-mom, Green LED;;;;;E-switch LP4OA1PBCTG;;;;;;;;;;;;;;;;;;
SW2, SW3;2;Switch, 6mm;;;;612-TL1105SP-250;E-switch TL1105SPF250Q;;;;;;;;;;;;;;;;;;
SW2, SW3;2;Cap for switch;;;;612-1R-BK;E-switch 1RBLK;;;;;;;;;;;;;;;;;;
PTH parts, bottom side;;;;;;;;;;;;;;;;;;;;;;;;;
"JP1 (""FTDI Dongle"")";1;1x6 male header, 2.54mm pitch;;;;649-68002-106HLF;;;;;;;;;;;;;;;;;;;
"JP2 (""JTAG"")";1;2x5 male header, 2.54mm pitch;;;;649-67996-410HLF;;;;;;;;;;;;;;;;;;;
"JP3 (Power, ""Red stripe"")";1;2x5 male header, 1.27mm pitch;;;;649-221111-00010T4LF;;;;;;;;;;;;;;;;;;;
PCB specifications;;;;;;;;;;;;;;;;;;;;;;;;;
PCB;;"106.1 x 88.9 ; 2 layers";;;;;;;;;;;;;;;;;;;;;;;
