;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
SHOPPING BASKET;;;;;;;;;;
This is not an invoice;;;;;;;;;;
helmi 18, 2017 11:59:17;;;;;;;;;;
;Mouser No;Mfr. No;Manufacturer;Customer No;Description ;RoHS;Lifecycle;Order Qty.;Price (EUR);Ext: (EUR)
1;291-1M-RC;291-1M-RC;Xicon;;Carbon Film Resistors - Through Hole 1Mohms 0.05;RoHS Compliant;;25;0,14 €;3,50 €
2;512-1N4148;1N4148;Fairchild Semiconductor;;Diodes - General Purpose, Power, Switching 100V Io/200mA BULK;RoHS Compliant;;50;0,05 €;2,50 €
3;291-1.0-RC;291-1.0-RC;Xicon;;Carbon Film Resistors - Through Hole 1ohms 0.05;RoHS Compliant;;10;0,14 €;1,40 €
4;291-1K-RC;291-1K-RC;Xicon;;Carbon Film Resistors - Through Hole 1Kohms 0.05;RoHS Compliant;;10;0,14 €;1,40 €
5;291-2K-RC;291-2K-RC;Xicon;;Carbon Film Resistors - Through Hole 2Kohms 0.05;RoHS Compliant;;10;0,14 €;1,40 €
6;291-100K-RC;291-100K-RC;Xicon;;Carbon Film Resistors - Through Hole 100Kohms 0.05;RoHS Compliant;;10;0,14 €;1,40 €
7;80-C322C104K5R;C322C104K5R5TA;Kemet;;Multilayer Ceramic Capacitors MLCC - Leaded 50volts 0.1uF 10% X7R;RoHS Compliant By Exemption;;10;0,211 €;2,11 €
8;512-LM78L05ACZ;LM78L05ACZ;Fairchild Semiconductor;;Linear Voltage Regulators 0.1A Pos Volt Reg;RoHS Compliant;;10;0,24 €;2,40 €
9;649-DILB14P-223TLF;DILB14P-223TLF;FCI / Amphenol;;IC & Component Sockets 14P DIP SOCKET;RoHS Compliant;;3;0,217 €;0,65 €
10;595-NE556N;NE556N;Texas Instruments;;Timers & Support Products Dual Precision;RoHS Compliant;;3;0,49 €;1,47 €
11;502-35RAPC2AV;35RAPC2AV;Switchcraft;;Phone Connectors 3.5MM MONO JACK;RoHS Compliant;;10;1,12 €;11,20 €
12;517-30316-6002;30316-6002HB;3M;;Headers & Wire Housings 16P STRT 4WALL GLDFL;RoHS Compliant;;2;0,726 €;1,45 €
13;594-D103M29Z5UH6UJ5R;D103M29Z5UH6UJ5R;Vishay;;Ceramic Disc Capacitors .01uF 100 V Z5U +/- 20%;RoHS Compliant;;10;0,104 €;1,04 €
14;598-SK100M100ST;SK100M100ST;Cornell Dubilier;;Aluminium Electrolytic Capacitors - Leaded 10uF 100V;RoHS Compliant;;10;0,283 €;2,83 €
15;625-1N5817-E3/73;1N5817-E3/73;Vishay;;Schottky Diodes & Rectifiers Vr/20V Io/1A;RoHS Compliant By Exemption;;3;0,50 €;1,50 €
16;291-24-RC;291-24-RC;Xicon;;Carbon Film Resistors - Through Hole 24ohms 0.05;RoHS Compliant;;10;0,14 €;1,40 €
17;291-100-RC;291-100-RC;Xicon;;Carbon Film Resistors - Through Hole 100ohms 0.05;RoHS Compliant;;10;0,14 €;1,40 €
18;291-470-RC;291-470-RC;Xicon;;Carbon Film Resistors - Through Hole 470ohms 0.05;RoHS Compliant;;10;0,14 €;1,40 €
19;291-5.6K-RC;291-5.6K-RC;Xicon;;Carbon Film Resistors - Through Hole 5.6Kohms 0.05;RoHS Compliant;;10;0,14 €;1,40 €
20;291-10K-RC;291-10K-RC;Xicon;;Carbon Film Resistors - Through Hole 10Kohms 0.05;RoHS Compliant;;10;0,14 €;1,40 €
21;291-15K-RC;291-15K-RC;Xicon;;Carbon Film Resistors - Through Hole 15Kohms 0.05;RoHS Compliant;;10;0,14 €;1,40 €
22;291-27K-RC;291-27K-RC;Xicon;;Carbon Film Resistors - Through Hole 27Kohms 0.05;RoHS Compliant;;10;0,14 €;1,40 €
23;291-120K-RC;291-120K-RC;Xicon;;Carbon Film Resistors - Through Hole 120Kohms 0.05;RoHS Compliant;;10;0,14 €;1,40 €
24;291-300K-RC;291-300K-RC;Xicon;;Carbon Film Resistors - Through Hole 300Kohms 0.05;RoHS Compliant;;10;0,14 €;1,40 €
25;291-470K-RC;291-470K-RC;Xicon;;Carbon Film Resistors - Through Hole 470Kohms 0.05;RoHS Compliant;;10;0,14 €;1,40 €
26;512-1N5817;1N5817;Fairchild Semiconductor;;Schottky Diodes & Rectifiers Vr/20V Io/1A T/R;RoHS Compliant;;10;0,264 €;2,64 €
27;810-FK28C0G2A561J;FK28C0G2A561J;TDK;;Multilayer Ceramic Capacitors MLCC - Leaded 560pF 100volts C0G 5%;RoHS Compliant;;3;0,321 €;0,96 €
28;810-FK24C0G2A332J;FK24C0G2A332J;TDK;;Multilayer Ceramic Capacitors MLCC - Leaded 3300pF 100volts C0G 5%;RoHS Compliant;;2;0,377 €;0,75 €
29;810-FK28C0G1H392J;FK28C0G1H392J;TDK;;Multilayer Ceramic Capacitors MLCC - Leaded 3900pF 50volts C0G +/-5%;RoHS Compliant;;2;0,302 €;0,60 €
30;594-D103Z25Z5VF63L6R;D103Z25Z5VF63L6R;Vishay;;Ceramic Disc Capacitors .25LS .01UF 50VDC +80/-20;RoHS Compliant;;10;0,094 €;0,94 €
31;667-ECQ-E2823KB;ECQ-E2823KB;Panasonic;;Film Capacitors 250DC 0.082uF 10% L/S=5mm;RoHS Compliant;;3;0,377 €;1,13 €
32;140-50V5-104Z-RC;140-50V5-104Z-RC;Xicon;;Ceramic Disc Capacitors 50V .1uF Y5V +80%/-20% Tol;RoHS Compliant;End of Life;5;0,302 €;1,51 €
33;667-EEU-HD1H4R7;EEU-HD1H4R7;Panasonic;;Aluminium Electrolytic Capacitors - Leaded 4.7uF 50volts 5x11 LS 2.5mm;RoHS Compliant;;3;0,434 €;1,30 €
