;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
SHOPPING BASKET;;;;;;;;;;
This is not an invoice;;;;;;;;;;
30-May-17 18:03:54;;;;;;;;;;
;Mouser No;Mfr. No;Manufacturer;Customer No;Description ;RoHS;Lifecycle;Order Qty.;Price (EUR);Ext.: (EUR)
31;512-LL4148;LL4148;Fairchild Semiconductor;;Diodes - General Purpose, Power, Switching Small Signal Diode;RoHS Compliant;;10;0,07 €;0,70 €
32;612-200-A1121;200MSP1T1B1M2QEH;E-Switch;;Toggle Switches SPDT ON-ON PC MNT;RoHS Compliant;;4;2,10 €;8,40 €
33;571-1-2199298-4;1-2199298-4;TE Connectivity;;IC & Component Sockets 16P DIP SKT 300 CL LADDER;RoHS Compliant;;4;0,207 €;0,83 €
34;649-67997-410HLF;67997-410HLF;FCI / Amphenol;;Headers & Wire Housings 10 POSITION DBL. ROW;RoHS Compliant;;20;0,232 €;4,64 €
35;649-68002-106HLF;68002-106HLF;FCI / Amphenol;;Headers & Wire Housings UNSHROUDED HEADER VERT THRU HOLE 6 POS;RoHS Compliant;;10;0,42 €;4,20 €
36;81-FSRH044C00RNB00B;FSRH044C00RNB00B;Murata;;Ferrite Cable Cores 40ohm @100MHz Beads Core;RoHS Compliant;;10;0,182 €;1,82 €
37;858-67YR100KLFTB;67YR100KLFTB;TT Electronics;;"Trimmer Resistors - Through Hole 100K ohm 10% 3/8"" Squ";RoHS Compliant By Exemption;;12;1,31 €;15,72 €
38;858-67YR10KLFTB;67YR10KLFTB;TT Electronics;;"Trimmer Resistors - Through Hole 10K ohm 10% 3/8"" Squ";RoHS Compliant By Exemption;;10;1,16 €;11,60 €
39;858-67YR20KLFTB;67YR20KLFTB;TT Electronics;;"Trimmer Resistors - Through Hole 20K ohm 10% 3/8"" Squ";RoHS Compliant By Exemption;;4;1,16 €;4,64 €
40;382-0006;382-0006;Xicon;;Screwdrivers, Nut Drivers & Socket Drivers KNURLED NUT DRIVER TOOL 6mm;Not Applicable;;1;8,61 €;8,61 €
41;815-ABLS2-8-D4Y-T;ABLS2-8.000MHZ-D4Y-T;ABRACON;;Crystals 8.0MHz 30ppm 18pF -40C+85C;RoHS Compliant;;10;0,298 €;2,98 €
42;815-ABLS2-12.2-D4Y-T;ABLS2-12.288MHZ-D4Y-T;ABRACON;;Crystals 12.288MHz 30ppm 18pF -40C+85C;RoHS Compliant;;10;0,347 €;3,47 €
