;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
SHOPPING BASKET;;;;;;;;;;
This is not an invoice;;;;;;;;;;
helmi 23, 2017 14:00:10;;;;;;;;;;
;Mouser No;Mfr. No;Manufacturer;Customer No;Description ;RoHS;Lifecycle;Order Qty.;Price (EUR);Ext: (EUR)
1;612-LP4OA1PBCTG;LP4OA1PBCTG;E-Switch;;Illuminated Pushbutton Switches DPDT ON MOM 2.3 VDC GRN LED;RoHS Compliant;;4;3,18 €;12,72 €
2;652-PTV09A4215FB103;PTV09A-4215F-B103;Bourns;;Potentiometers PANEL CONTROL 9MM-ST-CARBON;RoHS Compliant;;2;0,767 €;1,53 €
3;652-PTV112-4420AA503;PTV112-4420A-A503;Bourns;;Potentiometers 50K AUDIO 20%;RoHS Compliant;;2;1,16 €;2,32 €
4;571-3-644456-5;3-644456-5;TE Connectivity;;Headers & Wire Housings NARROW FLT HDR 5P Straight Post;RoHS Compliant;;4;0,358 €;1,43 €
5;538-90147-1105;90147-1105;Molex;;Headers & Wire Housings C-Grid PCB Conn SR V Conn SR Vt Tn-A 5Ckt;RoHS Compliant;;4;1,09 €;4,36 €
6;652-3306F-1-103;3306F-1-103;Bourns;;Trimmer Resistors - Through Hole 10K 25% 6mm Single Turn;RoHS Compliant By Exemption;;4;0,407 €;1,63 €
7;858-P0915NEC15BR10K;P0915N-EC15BR10K;TT Electronics;;Potentiometers 9mm 10Kohm;RoHS Compliant;;25;1,10 €;27,50 €
8;858-P0915NEC15BR100K;P0915N-EC15BR100K;TT Electronics;;Potentiometers 9mm 100Kohm;RoHS Compliant;;4;1,48 €;5,92 €
9;10TC260;10TC260;Mountain Switch;;Toggle Switches DPDT ON-ON STD LVR;No;;2;3,94 €;7,88 €
10;534-29311;29311;Keystone Electronics;;Screws & Fasteners M3 6.0mm Screw Zinc Plated Steel;RoHS Compliant;;50;0,238 €;11,90 €
11;534-7683;7683;Keystone Electronics;;Screws & Fasteners NYLON WASHER;RoHS Compliant;;50;0,105 €;5,25 €
12;855-R30-1001102;R30-1001102;Harwin;;Standoffs & Spacers M3 x 11mm THREAD HEX BRASS 5mm A/F;RoHS Compliant By Exemption;;10;0,293 €;2,93 €
;;;;;;;;;;
;;;;;;;;;;
"By submitting your order you agree

to these terms and conditions.";;;;;;;;;Merchandise Total:;85,37 €
Prices are reflected at the date and time shown.;;;;;;;;;Delivery Charge:;0,00 €
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
