;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
SHOPPING BASKET;;;;;;;;;;
This is not an invoice;;;;;;;;;;
helmi 18, 2017 11:58:47;;;;;;;;;;
;Mouser No;Mfr. No;Manufacturer;Customer No;Description ;RoHS;Lifecycle;Order Qty.;Price (EUR);Ext: (EUR)
34;926-LME49720MAX/NOPB;LME49720MAX/NOPB;Texas Instruments;;Audio Amplifiers LME49720MA;RoHS Compliant;;4;2,75 €;11,00 €
35;649-67996-406HLF;67996-406HLF;FCI / Amphenol;;Headers & Wire Housings 6P DR UNSHRD HRD TIN OVER NI;RoHS Compliant;;2;0,245 €;0,49 €
36;612-1R-BK;1RBLK;E-Switch;;Switch Bezels / Switch Caps 9 X 5MM RND CAP BLK;RoHS Compliant;;3;0,179 €;0,54 €
37;612-TL1105SP-250;TL1105SPF250Q;E-Switch;;Tactile Switches 6.0X2.8MM 250G;RoHS Compliant;;3;0,255 €;0,77 €
38;926-LM1117MPX5.0NOPB;LM1117MPX-5.0/NOPB;Texas Instruments;;LDO Voltage Regulators 800MA LDO LINEAR REG;RoHS Compliant;;3;0,943 €;2,83 €
39;595-LM4040C50IDBZR;LM4040C50IDBZR;Texas Instruments;;Voltage References 5-V Precision Mcrpwr Shunt .5% acc;RoHS Compliant;;4;0,802 €;3,21 €
40;556-ATMEGA88PA-AU;ATMEGA88PA-AU;Microchip;;8-bit Microcontrollers - MCU 1.8V - 5.5V 20MHz 8KB Programmable;RoHS Compliant;;2;1,32 €;2,64 €
41;710-742792642;742792642;Wurth Electronics;;Ferrite Beads WE-CBF 0603 SMD Bead 100MHz 470Ohm 200mA;RoHS Compliant;;4;0,16 €;0,64 €
42;81-GRM188R61C104KA1D;GRM188R61C104KA01D;Murata;;Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.1uF 16Volts X5R 10%;RoHS Compliant;;10;0,022 €;0,22 €
43;667-ERJ-3EKF1003V;ERJ-3EKF1003V;Panasonic;;Thick Film Resistors - SMD 0603 100Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;100;0,006 €;0,60 €
44;667-ERJ-3EKF2200V;ERJ-3EKF2200V;Panasonic;;Thick Film Resistors - SMD 0603 220ohms 1% AEC-Q200;RoHS Compliant By Exemption;;10;0,013 €;0,13 €
45;81-PV36X502C01B00;PV36X502C01B00;Bourns;;Trimmer Resistors - Through Hole 5Kohms;RoHS Compliant;;1;1,43 €;1,43 €
46;771-MMBT3906T/R;MMBT3906,215;Nexperia;;Bipolar Transistors - BJT TRANS SW TAPE-7;RoHS Compliant;;10;0,107 €;1,07 €
47;595-TL074CD;TL074CD;Texas Instruments;;Operational Amplifiers - Op Amps Low Noise JFET Input;RoHS Compliant;;2;0,547 €;1,09 €
