mfg part number;quantity 1;Mfg Part Number;Mfg Name;Mouser Part Number;Description;Price 1;Min\Mult;Stock;Lead Time;Lifecycle;NCNR;RoHS;Suggested Replacement;RoHS Replacement;PB Free;Package Type;Package Quantity;Package Price;Data Sheet URL;Product Image
291-1M-RC;8;291-1M-RC;Xicon;291-1M-RC;Carbon Film Resistors - Through Hole Carbon Film Resistors - Through Hole 1Mohms 0.05;0,173 €;1\1;85 448;11 Weeks;;No;Yes;;;;;;;;
512-1N4148;23;1N4148;Fairchild Semiconductor;512-1N4148;Diodes - General Purpose, Power, Switching Diodes - General Purpose, Power, Switching 100V Io/200mA BULK;0,05 €;1\1;637 398;6 Weeks;;No;Yes;;;;;;;;
PJ301BM;40;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
